link,title
https://v.daum.net/v/20240923162746712,"렉라자에 탄력받은 K항암제, 세계 무대서 주목"
https://v.daum.net/v/20240923155343139,"의사 단체 “충북대, 강원대 등 곳곳서 빨간 불…지방 필수 의료 벼랑 끝”"
https://v.daum.net/v/20240923161953376,올해 서울 50억원 이상 아파트 거래 247건… 10년 만에 최다
https://v.daum.net/v/20240923161502146,TSMC 닮아가는 인텔…삼성은 턴키 전략 고수
https://v.daum.net/v/20240923161013943,‘역사특별자치구’ 서대문구 주민들이 “역사왜곡 규탄” 나선 이유?
https://v.daum.net/v/20240923161633224,"[단독] 영세업체 상대로 3년 끈 피복소송, 방사청 ‘완패’ 수순[FM리포트]"
https://v.daum.net/v/20240923160433691,폭염 뚫고 마침내 “파란 가을 하늘”
https://v.daum.net/v/20240923161005940,"[이슈+] 구속 전공의에 ""성금으로 돈벼락""?"
https://v.daum.net/v/20240923162728699,“부작용 전혀 없다“ 권유에 중요부위에 필러→80% 절단…형량은 ‘벌금 50만원’
https://v.daum.net/v/20240923155011976,"여행지서 실종 고양이, 두달 뒤 1000여㎞ 떨어진 집으로 돌아와"
https://v.daum.net/v/20240923161151996,들쑥날쑥 날씨 이어진다...당분간 늦여름과 초가을 오갈 듯
https://v.daum.net/v/20240923162928765,"'김 여사 법치마저 흔들어' 조선일보 칼럼, 법사위 회의장에 소환된 까닭"
https://v.daum.net/v/20240923162546636,마리아나 해구서 들리는 의문의 소리...AI로 밝혀냈다
https://v.daum.net/v/20240923160755835,"[단독] 국민 92.5% 찬성한다던 연금개혁, 설문조사 문항보니 ‘갸우뚱’"
https://v.daum.net/v/20240923162021392,"사채 담보로 넘긴 대위, 여친 카톡에 써 둔 상병... 줄줄 새는 암구호"
https://v.daum.net/v/20240923160002406,"세종보 장기농성 '보철거시민행동', 오체투지환경상 '대상'"
https://v.daum.net/v/20240923160757837,"[단독] ‘차입금 부담’ 한국맥도날드, 17개월 만에 증자 단행"
https://v.daum.net/v/20240923161351088,업무 시작 2주 됐는데…필리핀 가사관리사 2명 ‘무단 이탈’ [지금뉴스]
https://v.daum.net/v/20240923161015944,"[이슈+] 만들어도, 봐도, 처벌‥딥페이크 법안 실효성은?"
https://v.daum.net/v/20240923143743421,"""2년 만에 11배""…외국인 러브콜에 상승 지속 [엔터프라이스]"
